,timestamp,location,track,week,pacing,rating
5,7/15/2016 6:31:36,,Intro,,4,8
6,7/15/2016 6:32:19,,Apps,,4,8
7,7/15/2016 6:36:55,,Apps,,3,10
8,7/15/2016 6:37:43,,Apps,,5,8
9,7/15/2016 6:57:30,,Apps,,3,10
10,7/15/2016 7:03:28,,Apps,,4,8
11,7/15/2016 7:30:38,,Games,,4,8
12,7/15/2016 7:37:15,,Apps,,3,10
13,7/15/2016 7:47:54,,Games,,3,8
14,7/15/2016 10:11:32,,Apps,,3,8
15,7/15/2016 10:18:52,,Apps,,3,8
0,7/1/2016 5:41:15,,,,3,8
1,7/1/2016 8:52:52,,,,3,6
2,7/2/2016 7:49:54,,,,5,6
3,7/3/2016 19:14:57,,,,3,6
4,7/3/2016 19:21:48,,,,4,8
5,7/3/2016 19:27:27,,,,3,8
6,7/3/2016 20:00:26,,,,3,6
7,7/4/2016 3:03:20,,,,3,6
0,8/5/2016 12:34:16,,Apps,,3,6
1,8/5/2016 12:35:50,,Apps,,3,10
2,8/5/2016 12:36:31,,Games,,3,10
3,8/5/2016 12:36:55,,Games,,3,8
4,8/5/2016 12:37:12,,Apps,,3,8
5,8/5/2016 12:37:15,,Intro,,4,8
6,8/5/2016 12:39:02,,Apps,,3,10
7,8/5/2016 12:39:13,,Games,,4,10
8,8/5/2016 12:43:00,,Games,,3,8
9,8/5/2016 12:43:35,,Apps,,3,8
10,8/5/2016 12:45:05,,Intro,,3,10
11,8/5/2016 12:45:58,,Games,,3,6
12,8/5/2016 12:46:09,,Games,,4,10
13,8/5/2016 13:04:11,,Apps,,3,8
14,8/5/2016 13:13:02,,Intro,,3,8
15,8/5/2016 13:37:41,,Apps,,3,8
16,8/5/2016 13:39:55,,Intro,,4,10
0,6/24/2016 14:02:56,,Apps,,2,6
1,6/23/2016 14:48:47,,Apps,,3,6
2,6/24/2016 9:50:50,,Apps,,4,6
3,6/24/2016 13:21:09,,Apps,,5,6
4,6/23/2016 13:21:46,,Apps,,2,8
5,6/24/2016 13:58:52,,Apps,,2,8
6,6/24/2016 14:12:41,,Apps,,2,8
7,6/23/2016 13:19:38,,Apps,,3,8
8,6/24/2016 9:49:30,,Apps,,3,8
9,6/24/2016 9:53:41,,Apps,,3,8
10,6/24/2016 9:54:45,,Apps,,3,8
11,6/24/2016 11:37:05,,Apps,,3,8
12,6/24/2016 11:40:59,,Apps,,3,8
13,6/24/2016 11:46:04,,Apps,,3,8
14,6/24/2016 13:07:03,,Apps,,3,8
15,6/24/2016 13:11:15,,Apps,,3,8
